巨人,http://baseball-data.com/stats/hitter2-g/tpa-1.html
阪神,http://baseball-data.com/stats/hitter2-t/tpa-1.html
広島,http://baseball-data.com/stats/hitter2-c/tpa-1.html
中日,http://baseball-data.com/stats/hitter2-d/tpa-1.html
DeNA,http://baseball-data.com/stats/hitter2-yb/tpa-1.html
ヤクルト,http://baseball-data.com/stats/hitter2-s/tpa-1.html
ソフトバンク,http://baseball-data.com/stats/hitter2-h/tpa-1.html
オリックス,http://baseball-data.com/stats/hitter2-bs/tpa-1.html
日本ハム,http://baseball-data.com/stats/hitter2-f/tpa-1.html
ロッテ,http://baseball-data.com/stats/hitter2-m/tpa-1.html
西武,http://baseball-data.com/stats/hitter2-l/tpa-1.html
楽天,http://baseball-data.com/stats/hitter2-e/tpa-1.html
