ルナ,45,4951
雄平,37,3242
中村晃,44,4659
李大浩,41,6656
中田翔,39,5655
鳥谷敬,38,4893
イチロー,55,6543
松井秀喜,56,7294
山田哲人,55,9075
畠山和洋,38,5247
川端慎吾,41,5385
柳田悠岐,55,12188
秋山翔吾,46,7877
清田育宏,47,6626
近藤健介,44,6756
角中勝也,45,4527
松田宣浩,47,6533
中村剛也,44,7169
筒香嘉智,44,7289
大島洋平,41,3161
ロペス,43,5710
平田良介,42,5389
福留孝介,49,5734
マートン,37,3461
梶谷隆幸,48,4723
ゴメス,50,5238
坂本勇人,39,4623
長野久義,39,3972
阿部慎之助,42,5660
エルナンデス,37,3699
